episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,84000,0,84000,0,4000,0,268.7146139386948,0.0,84000,0,84000,False,2,21,ea782_00000,2024-07-15_18-17-04,1721060224,14.887685537338257,310.06834268569946,45714,LAPTOP-R6OO6DVP,172.23.43.95,310.06834268569946,21,84000,0,84000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14297.98,10449.858,2.291,84000,0,84000,0,8.595238095238093,75.44761904761907,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.05249315824186894,0.05249315824186894,-0.0005547625642182476,3.3593086463683197,5.145498024947099,-9.540555827907407e-07,1.3276725734220638,0.01518194878836264,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,88000,0,88000,0,4000,0,271.1564655777869,0.0,88000,0,88000,False,2,22,ea782_00000,2024-07-15_18-17-18,1721060238,14.753315687179565,324.821658372879,45714,LAPTOP-R6OO6DVP,172.23.43.95,324.821658372879,22,88000,0,88000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14364.039,10508.666,2.378,88000,0,88000,0,9.352380952380953,75.16666666666667,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.03424239127503545,0.03424239127503545,0.0012781627566567553,2.249087427979085,3.4482603822944005,-9.538014052010803e-07,1.2845422155313146,0.008173079599161663,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,92000,0,92000,0,4000,0,271.147104921718,0.0,92000,0,92000,False,2,23,ea782_00000,2024-07-15_18-17-33,1721060253,14.754852294921875,339.5765106678009,45714,LAPTOP-R6OO6DVP,172.23.43.95,339.5765106678009,23,92000,0,92000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14437.651,10515.036,2.517,92000,0,92000,0,9.033333333333333,75.09047619047621,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.03773758113771471,0.03773758113771471,0.006245525052417506,1.8327896564817632,2.360272929580735,-9.55707737123534e-07,1.201149883300765,0.01027290168271713,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,96000,0,96000,0,4000,0,271.64131024208456,0.0,96000,0,96000,False,2,24,ea782_00000,2024-07-15_18-17-48,1721060268,14.727813720703125,354.304324388504,45714,LAPTOP-R6OO6DVP,172.23.43.95,354.304324388504,24,96000,0,96000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14511.281,10576.346,2.513,96000,0,96000,0,9.566666666666666,75.30476190476193,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.043924790123717854,0.043924790123717854,0.0034835553154158694,1.9953626664653261,2.143413157573641,-9.538014052010803e-07,1.178246051644974,0.015987892489142324,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,100000,0,100000,0,4000,0,254.7310246884736,0.0,100000,0,100000,False,2,25,ea782_00000,2024-07-15_18-18-04,1721060284,15.70485234260559,370.0091767311096,45714,LAPTOP-R6OO6DVP,172.23.43.95,370.0091767311096,25,100000,0,100000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14703.87,10711.326,2.525,100000,0,100000,0,9.42727272727273,75.36363636363636,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.051606565384245885,0.051606565384245885,0.0036840200809432244,3.32065986805379,6.7348692718980665,-9.55580648328704e-07,1.2771610468943744,0.011483869161628017,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11370.0,35040.0,0,0,1,0,0,104000,0,104000,0,4000,0,257.8172861337331,0.0,104000,0,104000,False,2,26,ea782_00000,2024-07-15_18-18-19,1721060299,15.517058610916138,385.52623534202576,45714,LAPTOP-R6OO6DVP,172.23.43.95,385.52623534202576,26,104000,0,104000,0,-10756.0,-11984.0,-11370.0,35040.0,0,0,"[-10756.0, -11984.0]","[35040, 35040]",14849.773,10814.187,2.454,104000,0,104000,0,9.33913043478261,75.61304347826086,"[-10756.0, -11984.0]","[35040, 35040]",128.0,4000.0,0.09600437612040465,0.09600437612040465,0.004585631572004003,6.807657291004652,22.642771765875665,-9.539284939959104e-07,1.227641487235962,0.018215500718228358,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11250.0,35040.0,1,0,1,0,0,108000,0,108000,0,4000,0,264.5461075916628,0.0,108000,0,108000,False,3,27,ea782_00000,2024-07-15_18-18-34,1721060314,15.122740983963013,400.64897632598877,45714,LAPTOP-R6OO6DVP,172.23.43.95,400.64897632598877,27,108000,0,108000,0,-10756.0,-11984.0,-11250.0,35040.0,1,0,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",14941.27,10846.806,2.488,108000,0,108000,0,8.890476190476193,75.61904761904759,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",128.0,4000.0,0.08875835930103504,0.08875835930103504,0.0064960447282020025,5.895367283175495,18.425961514907097,-9.574869802511577e-07,1.3574318934096965,0.018189338851983334,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11250.0,35040.0,0,0,1,0,0,112000,0,112000,0,4000,0,273.0238955892733,0.0,112000,0,112000,False,3,28,ea782_00000,2024-07-15_18-18-49,1721060329,14.652836561203003,415.3018128871918,45714,LAPTOP-R6OO6DVP,172.23.43.95,415.3018128871918,28,112000,0,112000,0,-10756.0,-11984.0,-11250.0,35040.0,0,0,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",14912.992,10817.085,2.514,112000,0,112000,0,8.628571428571428,75.62380952380951,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",128.0,4000.0,0.09027208027634412,0.09027208027634412,0.00608689072596501,6.299913903035081,15.148574179169465,-9.558348259183644e-07,1.3476200296934733,0.01653292879943417,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11250.0,35040.0,0,0,1,0,0,116000,0,116000,0,4000,0,271.23417169647314,0.0,116000,0,116000,False,3,29,ea782_00000,2024-07-15_18-19-04,1721060344,14.750075340270996,430.05188822746277,45714,LAPTOP-R6OO6DVP,172.23.43.95,430.05188822746277,29,116000,0,116000,0,-10756.0,-11984.0,-11250.0,35040.0,0,0,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",14943.241,10834.03,2.501,116000,0,116000,0,8.957142857142859,75.46190476190475,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",128.0,4000.0,0.07706575109355294,0.07706575109355294,0.0033424031009266116,5.725903725255527,13.40693476923239,-9.548181155597222e-07,1.2974008809783057,0.012848235807609127,0.003,0.003,0.0,1.2814453840255737
-10756.0,-11984.0,-11250.0,35040.0,0,0,1,0,0,120000,0,120000,0,4000,0,269.9257310771177,0.0,120000,0,120000,False,3,30,ea782_00000,2024-07-15_18-19-19,1721060359,14.821418046951294,444.87330627441406,45714,LAPTOP-R6OO6DVP,172.23.43.95,444.87330627441406,30,120000,0,120000,0,-10756.0,-11984.0,-11250.0,35040.0,0,0,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",14966.941,10820.598,2.515,120000,0,120000,0,8.995238095238095,75.38095238095238,"[-10756.0, -11984.0, -11010.0]","[35040, 35040, 35040]",128.0,4000.0,0.053301998494026157,0.053301998494026157,0.00574806033184867,2.4928079677670243,4.185887260032869,-9.558348259183644e-07,1.1861227368240925,0.017656513473679518,0.003,0.003,0.0,1.2814453840255737
